seq_len,predicted_kv_b,actual_kv_b,total_allocated_b,weights_b,residual_b,peak_allocated_b,reserved_b
2032,58261504,58261504,3156495872,3088360960,9873408,3169036288,3395289088
4032,115605504,115605504,3216551936,3088360960,12585472,3299082752,3554672640
6032,172949504,172949504,3274518528,3088360960,13208064,3429256192,3749707776
8032,230293504,230293504,3332272128,3088360960,13617664,3557903360,3982491648
10032,287637504,287637504,3388378624,3088360960,12380160,3684352512,4185915392
12032,344981504,344981504,3448976384,3088360960,15633920,3813633536,4399824896
14032,402325504,402325504,3501911552,3088360960,11225088,3939755520,4651483136
16032,459669504,459669504,3559845376,3088360960,11814912,4061038592,4940890112
18032,517013504,517013504,3617107456,3088360960,11732992,4188528640,5268045824
20032,574357504,574357504,3675467264,3088360960,12748800,4316438528,5632950272
