seq_len,predicted_kv_b,actual_kv_b,total_allocated_b,weights_b,residual_b,peak_allocated_b,reserved_b
2032,58261504,58261504,3156495872,3088360960,9873408,3227269120,3449815040
4032,115605504,115605504,3216584192,3088360960,12617728,3416007680,3718250496
6032,172949504,172949504,3274288640,3088360960,12978176,3604293632,3990880256
8032,230293504,230293504,3332191232,3088360960,13536768,3792075776,4269801472
10032,287637504,287637504,3387764224,3088360960,11765760,3971266048,4552916992
12032,344981504,344981504,3445960192,3088360960,12617728,4161890816,4766826496
14032,402325504,402325504,3502534144,3088360960,11847680,4339658752,5138022400
16032,459669504,459669504,3562012672,3088360960,13982208,4524995584,5471469568
18032,517013504,517013504,3617107456,3088360960,11732992,4709733888,5798625280
20032,574357504,574357504,3674549760,3088360960,11831296,4890769408,6163529728
