engine,model,dtype,batch_size,prompt_tokens,new_tokens,prefill_seconds,decode_seconds,decode_tokens_per_sec,prefill_tokens_per_sec,weights_vram_mib,peak_allocated_mib,peak_reserved_mib,oom,note,gpu_name,torch_version,timestamp
hf,Qwen/Qwen2.5-1.5B,float16,1,32,1000,0.0,0.0,71.02574119204,0.0,2945.29052734375,3017.3427734375,3230.0,False,checkpoint,NVIDIA GeForce RTX 4060 Ti,2.12.0+cu126,2026-06-29T08:38:23+00:00
hf,Qwen/Qwen2.5-1.5B,float16,1,32,2000,0.0,0.0,66.8420299272221,0.0,2945.29052734375,3077.95458984375,3290.0,False,checkpoint,NVIDIA GeForce RTX 4060 Ti,2.12.0+cu126,2026-06-29T08:38:38+00:00
hf,Qwen/Qwen2.5-1.5B,float16,1,32,3000,0.0,0.0,63.072339679983784,0.0,2945.29052734375,3168.4580078125,3310.0,False,checkpoint,NVIDIA GeForce RTX 4060 Ti,2.12.0+cu126,2026-06-29T08:38:54+00:00
hf,Qwen/Qwen2.5-1.5B,float16,1,32,4000,0.0,0.0,59.37220847262899,0.0,2945.29052734375,3202.376953125,3490.0,False,checkpoint,NVIDIA GeForce RTX 4060 Ti,2.12.0+cu126,2026-06-29T08:39:11+00:00
hf,Qwen/Qwen2.5-1.5B,float16,1,32,5000,0.0,0.0,55.04873895246278,0.0,2945.29052734375,3259.5302734375,3638.0,False,checkpoint,NVIDIA GeForce RTX 4060 Ti,2.12.0+cu126,2026-06-29T08:39:29+00:00
hf,Qwen/Qwen2.5-1.5B,float16,1,32,6000,0.0,0.0,50.68455463080886,0.0,2945.29052734375,3323.83203125,3656.0,False,checkpoint,NVIDIA GeForce RTX 4060 Ti,2.12.0+cu126,2026-06-29T08:39:49+00:00
hf,Qwen/Qwen2.5-1.5B,float16,1,32,7000,0.0,0.0,46.37916067151402,0.0,2945.29052734375,3383.90673828125,3778.0,False,checkpoint,NVIDIA GeForce RTX 4060 Ti,2.12.0+cu126,2026-06-29T08:40:10+00:00
hf,Qwen/Qwen2.5-1.5B,float16,1,32,8000,0.0,0.0,42.914662827881365,0.0,2945.29052734375,3449.013671875,3826.0,False,checkpoint,NVIDIA GeForce RTX 4060 Ti,2.12.0+cu126,2026-06-29T08:40:34+00:00
hf,Qwen/Qwen2.5-1.5B,float16,1,32,9000,0.0,0.0,39.558281428620965,0.0,2945.29052734375,3507.07275390625,3960.0,False,checkpoint,NVIDIA GeForce RTX 4060 Ti,2.12.0+cu126,2026-06-29T08:40:59+00:00
hf,Qwen/Qwen2.5-1.5B,float16,1,32,10000,0.0,0.0,36.5913988833965,0.0,2945.29052734375,3565.5361328125,4020.0,False,checkpoint,NVIDIA GeForce RTX 4060 Ti,2.12.0+cu126,2026-06-29T08:41:26+00:00
hf,Qwen/Qwen2.5-1.5B,float16,1,32,11000,0.0,0.0,34.028383972591115,0.0,2945.29052734375,3623.7236328125,4152.0,False,checkpoint,NVIDIA GeForce RTX 4060 Ti,2.12.0+cu126,2026-06-29T08:41:56+00:00
hf,Qwen/Qwen2.5-1.5B,float16,1,32,12000,0.0,0.0,31.974677206916265,0.0,2945.29052734375,3691.72607421875,4224.0,False,checkpoint,NVIDIA GeForce RTX 4060 Ti,2.12.0+cu126,2026-06-29T08:42:27+00:00
hf,Qwen/Qwen2.5-1.5B,float16,1,32,13000,0.0,0.0,30.271076782030715,0.0,2945.29052734375,3750.49462890625,4380.0,False,checkpoint,NVIDIA GeForce RTX 4060 Ti,2.12.0+cu126,2026-06-29T08:43:00+00:00
hf,Qwen/Qwen2.5-1.5B,float16,1,32,14000,0.0,0.0,28.89343695557241,0.0,2945.29052734375,3809.220703125,4464.0,False,checkpoint,NVIDIA GeForce RTX 4060 Ti,2.12.0+cu126,2026-06-29T08:43:35+00:00
hf,Qwen/Qwen2.5-1.5B,float16,1,32,15000,0.0,0.0,27.61380477598925,0.0,2945.29052734375,3866.2861328125,4644.0,False,checkpoint,NVIDIA GeForce RTX 4060 Ti,2.12.0+cu126,2026-06-29T08:44:11+00:00
hf,Qwen/Qwen2.5-1.5B,float16,1,32,16000,0.0,0.0,26.429112449509944,0.0,2945.29052734375,3930.97998046875,4740.0,False,checkpoint,NVIDIA GeForce RTX 4060 Ti,2.12.0+cu126,2026-06-29T08:44:49+00:00
